Section,Group,Parameter Name,Description,Possible Values / Range
Voice Parameters,Sensitivity,Pitch Modulation Sensitivity,Sets global voice pitch responsiveness to pitch modulation (LFO),0 ~ 7
Voice Parameters,LFO,LFO Wave,Selects the Low Frequency Oscillator waveform shape,"Triangle, Saw Down, Saw Up, Square, Sine, S/Hold"
Voice Parameters,LFO,LFO Speed,Sets the speed of the LFO,0 ~ 99
Voice Parameters,LFO,LFO Delay,Sets the time delay before the LFO modulation kicks in,0 ~ 99
Voice Parameters,LFO,LFO Mode,Determines whether a single LFO affects all voices or individual LFOs run per voice,"Single, Multi"
Voice Parameters,LFO,LFO Pitch Modulation Depth,Sets the base amount of pitch modulation from the LFO,0 ~ 99
Voice Parameters,LFO,LFO Amplitude Modulation Depth,Sets the base amount of amplitude modulation from the LFO,0 ~ 99
Voice Parameters,LFO,LFO Key Sync,Determines whether the LFO waveform restarts on each key press,"off, on"
Voice Parameters,Pitch EG,Pitch Envelope Octave Range,Sets the maximum range depth of the pitch envelope generator,"1/2 (6 semitones), 1 (1 octave), 2 (2 octaves), 8 (8 octaves)"
Voice Parameters,Pitch EG,Pitch Envelope Velocity,Controls intensity of the Pitch Envelope based on key velocity,"off, on"
Voice Parameters,Pitch EG,Pitch Envelope Rate Scaling,Changes the speed of the pitch envelope across the keyboard range,0 ~ 7
Voice Parameters,Pitch EG,Pitch Envelope Rates 1 ~ 4,Sets the 4 rates for the pitch envelope transitions,0 ~ 99
Voice Parameters,Pitch EG,Pitch Envelope Levels 1 ~ 4,Sets the 4 target levels for the pitch envelope,0 ~ 99
Voice Parameters,Key Mode,Key Mode Assign,Determines how voice polyphony and unison stacking are handled,"Polyphonic, Monophonic, Unison Poly, Unison Mono"
Voice Parameters,Key Mode,Unison Detune,Sets depth of tuning variation between stacked voices (in Unison modes),0 ~ 7
Voice Parameters,Pitch Bend & Portamento,Pitch Bend Mode,Determines which notes are affected during a pitch bend,"Normal, Lowest, Highest, Key On"
Voice Parameters,Pitch Bend & Portamento,Pitch Bend Range,Sets the total pitch range of the pitch bend wheel,0 ~ 12 semitones
Voice Parameters,Pitch Bend & Portamento,Pitch Bend Step,Enables stepped pitch bending increments,0 ~ 12 semitones
Voice Parameters,Pitch Bend & Portamento,Portamento Mode,Selects the portamento glide tracking behavior,"Sus-Key, P Retain, Sus-Key P Follow, Fingered Porta, Full Time Porta"
Voice Parameters,Pitch Bend & Portamento,Portamento Time,Sets the time duration of the portamento glide effect,0 ~ 99
Voice Parameters,Pitch Bend & Portamento,Portamento Step,Sets discrete stepped intervals for the portamento effect,0 ~ 99
Voice Parameters,Pitch Bend & Portamento,Random Pitch,Introduces random tuning instabilities for analog character,0 ~ 7
Voice Parameters,Controllers (BC / AT / MW),Breath Controller Pitch Modulation Depth,Sets BC depth for pitch modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Breath Controller Amplitude Modulation Depth,Sets BC depth for amplitude modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Breath Controller EG Bias,Sets BC depth for envelope generator level bias,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Breath Controller Pitch Bias,Offsets the voice pitch directly via breath input,-50 ~ +50
Voice Parameters,Controllers (BC / AT / MW),Aftertouch Pitch Modulation Depth,Sets keyboard aftertouch depth for pitch modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Aftertouch Amplitude Modulation Depth,Sets keyboard aftertouch depth for amplitude modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Aftertouch EG Bias,Sets keyboard aftertouch depth for operator envelope generator bias,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Aftertouch Pitch Bias,Offsets pitch directly based on keyboard aftertouch pressure,-50 ~ +50
Voice Parameters,Controllers (BC / AT / MW),Modulation Wheel Pitch Modulation Depth,Sets mod wheel depth for pitch modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Modulation Wheel Amplitude Modulation Depth,Sets mod wheel depth for amplitude modulation,0 ~ 99
Voice Parameters,Controllers (BC / AT / MW),Modulation Wheel EG Bias,Sets mod wheel depth for operator envelope bias,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 1 to Control Slider 1,Routes Foot Controller 1 to override Continuous Slider 1 parameter,"off, on"
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 1 Pitch Modulation Depth,Sets FC1 depth for pitch modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 1 Amplitude Modulation Depth,Sets FC1 depth for amplitude modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 1 EG Bias,Sets FC1 depth for operator envelope bias,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 1 Volume,Sets FC1 depth for direct volume control,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 2 Pitch Modulation Depth,Sets FC2 depth for pitch modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 2 Amplitude Modulation Depth,Sets FC2 depth for amplitude modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 2 EG Bias,Sets FC2 depth for operator envelope bias,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),Foot Controller 2 Volume,Sets FC2 depth for direct volume control,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),MIDI Controller Pitch Modulation Depth,Sets map depth for incoming MIDI CC pitch modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),MIDI Controller Amplitude Modulation Depth,Sets map depth for incoming MIDI CC amplitude modulation,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),MIDI Controller EG Bias,Sets map depth for incoming MIDI CC operator envelope bias,0 ~ 99
Voice Parameters,Controllers (FC1 / FC2 / MIDI),MIDI Controller Volume,Sets map depth for incoming MIDI CC volume control,0 ~ 99
